"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",4.25552903390089,1.4023678802162,0.954824324989586,1.46871821707255,0.141909234269059,0.370378341669174
"AT1G78930",31.4661186781905,-0.872121530859475,0.436857889703589,-1.996350647235,0.0458957687669937,0.178503571919896
"AT1G71695",313.581652711714,-0.816287744141235,0.270964470154928,-3.01252685887013,0.00259082508155653,0.0212054458591111
"AT1G58983",0.666913938292468,-1.43814617454674,2.54728865599495,-0.564579193316829,0.572360020759939,NA
"AT1G12980",2.85292774254842,0.198979138492992,1.1805329921509,0.16855025638077,0.866150410273462,0.946993433311832
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",1043.81749070278,0.000699012075403151,0.360020838011481,0.00194158782381607,0.998450838025263,0.999001049728804
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",639.027301204778,0.646248024719175,0.150241622669137,4.30139140697611,1.69728948544752e-05,0.000338804903801534
"AT1G72450",11506.5200024681,0.752107624649281,0.271902056831244,2.76609759195781,0.00567315541311489,0.038554806656565
"AT1G76280",267.079864184801,-0.233375735154256,0.167989882110517,-1.38922494749251,0.164764357838439,0.406233544028958
"AT1G65630",0,NA,NA,NA,NA,NA
"AT1G71390",0.807278165296344,0.651672771428167,2.10746591558575,0.309221025407208,0.757153401165308,NA
"AT1G56233",0,NA,NA,NA,NA,NA
"AT1G15210",22967.5191983682,0.627200088024486,0.224768155555643,2.79043126226668,0.00526378759294159,0.0363394816460745
"AT1G15250",354.480692436005,-0.115402561950777,0.189871980230416,-0.607791427733215,0.543325815445831,0.773623243166499
"AT1G79700",324.59651537165,-0.382719657696521,0.198747423155138,-1.92565846450134,0.0541470333953475,0.199687806976613
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",20.781029714166,-0.00712580559987656,0.396185652453554,-0.0179860263887571,0.985650000935678,0.99450505790435
"AT1G16360",13.388375786512,0.609820840551102,0.561760019364465,1.08555400799261,0.277676357052519,0.54800837567575
"AT1G10225",0.984916773780381,1.05618906870165,1.98755958530188,0.531399952239031,0.595141654606077,NA
"AT1G26670",1425.0485951273,0.113565901185424,0.097834367786294,1.16079761902784,0.245724211498263,0.512525284331242
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",405.533201482956,-1.59693538462184,0.240500178294546,-6.64005904671734,3.13557516070061e-11,2.31586141021508e-09
"AT1G57800",0.161945267417649,1.02313254570336,4.0804728567969,0.250738721126184,0.802016121621507,NA
"AT1G69460",1073.93838113306,0.116502888312867,0.115174386801141,1.01153469576548,0.311760583780582,0.582443630164557
