"","gene"
"1","AT2G30040"
"2","AT1G76350"
"3","AT4G21740"
"4","AT1G74640"
"5","AT5G27520"
"6","AT5G57610"
"7","AT1G70800"
"8","AT5G52410"
"9","AT4G11080"
"10","AT5G01710"
