"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G52200",405.533201482956,-1.59693538462184,0.240500178294546,-6.64005904671734,3.13557516070061e-11,2.31586141021508e-09
"AT1G53340",189.829676110229,1.06955643021169,0.21472274737633,4.98110443947117,6.32224056603008e-07,1.94835894558223e-05
"AT1G49570",2599.93407968556,-1.48840880469139,0.287795775924635,-5.17175347660821,2.31907412225495e-07,8.16284119154942e-06
"AT1G30640",1018.13233554974,1.07557108696517,0.196912421267204,5.46217998866437,4.70322856563097e-08,1.95934883342194e-06
"AT1G64110",1146.91518232451,4.02959451740195,0.368293059061461,10.9412719524793,7.31661261928256e-28,3.70731059881229e-25
"AT1G54950",33.8446280724285,-5.61180979316674,0.786710083471648,-7.13326282587171,9.80171364278571e-13,9.12648448072714e-11
"AT1G70080",51.7262619162047,-1.35037424860767,0.39834905693574,-3.38992706295149,0.000699112215771191,0.00758200943614869
"AT1G69080",550.841391082821,1.03373267768798,0.222321967379352,4.64971001234484,3.32402060393818e-06,8.26755261627912e-05
"AT1G77120",1704.92440733613,1.23329995336937,0.461355438078055,2.67320996259875,0.00751292114210759,0.0479471370369772
"AT1G68500",19.8813756119989,2.36502644549672,0.544655782279212,4.34224059019411,1.41036964386778e-05,0.000289472196577277
"AT1G77760",12399.4275244348,-2.40516525074915,0.215976472958959,-11.1362372845406,8.35762624865273e-29,4.66912719758066e-26
"AT1G22370",43.599870872761,1.20871878255453,0.362378833877779,3.33551154083741,0.000851426196979699,0.00885984744929388
"AT1G15310",150.22395131856,1.00390271515284,0.191919409720075,5.23085557952209,1.68727291075626e-07,6.08647387078766e-06
"AT1G13300",967.838853270833,-1.77914358266567,0.240352819984963,-7.40221638663103,1.33930021410092e-13,1.44458777548668e-11
"AT1G70700",1073.59697930182,1.47228783073364,0.221452874689993,6.64831211965373,2.96473101856844e-11,2.1971278718561e-09
"AT1G56320",172.756686866352,1.07179876090201,0.279322920129885,3.83713144772947,0.00012447984999081,0.00181537280562233
"AT1G03790",32.3079392372447,2.27995580752394,0.747816851198168,3.04881576801987,0.00229745325942879,0.0193494053407169
"AT1G02220",504.205539771076,-1.40423325333911,0.240916394259639,-5.82871604755028,5.58554505034126e-09,2.77848985289578e-07
"AT1G75960",45.2972692084385,1.08519415189058,0.359207561610031,3.02107825076551,0.00251876257804959,0.0208031838705627
