"","gene"
"1","AT5G55050"
"2","AT1G52565"
"3","AT5G24810"
"4","AT3G53400"
"5","AT4G38370"
"6","AT3G46880"
"7","AT5G45070"
"8","AT5G05380"
"9","AT5G63970"
"10","AT4G30140"
