"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G64160",327.980473160582,-2.1949337457293,0.817311436730724,-2.68555369114755,0.00724097397964644,0.0466158631350208
"AT1G70780",4256.66368486777,1.0571581343164,0.128431457978014,8.23130213547347,1.85189218223065e-16,2.86215847057946e-14
"AT1G73120",30.5114813106844,-1.94589424876154,0.494838368331438,-3.93238352822754,8.41077341735923e-05,0.00131701430800703
"AT1G48820",12.5020097756902,2.06353932830614,0.601919417352999,3.42826509465464,0.000607451979210501,0.00673636362811294
"AT1G78090",545.362124580263,-1.90356430901467,0.192441808625903,-9.89163593195647,4.52570825256148e-23,1.51729591138184e-20
"AT1G63240",137.196220952504,1.17756000487068,0.278206106621356,4.23268927907958,2.30913430519915e-05,0.000440636206470227
"AT1G80390",12.1316262210649,-2.61880692999047,0.639940382941299,-4.09226702955342,4.2717633126068e-05,0.000738811635780376
"AT1G55990",730.166035942417,1.04570237198513,0.268452969491403,3.8952907616044,9.8081000355963e-05,0.00148842699147434
"AT1G23510",6.02523424995664,-2.96383516006088,1.01970543846153,-2.90656011851083,0.00365426671575624,0.0275095686987272
"AT1G22830",920.532851082012,1.05047097672498,0.351090709780614,2.99202157009904,0.00277136680868014,0.0223101682655182
"AT1G52690",2926.07818200249,3.92187807394507,0.394526037007406,9.94073319898895,2.76782337271682e-23,9.57403284734047e-21
"AT1G07690",9.53470835024565,-4.75485827670079,1.33311823760879,-3.56671909704691,0.00036147859847829,0.00441307653671646
"AT1G78990",583.568998475514,1.18854140596852,0.265726400252364,4.47280136576472,7.72014848634245e-06,0.000173619686082946
"AT1G19040",10.7634689857869,-2.45602904131157,0.891783602536957,-2.75406391676706,0.00588602718134479,0.0396379185215901
"AT1G70640",162.618310877148,1.22431423168806,0.251384604426383,4.87028326369364,1.11438376773124e-06,3.20801202990742e-05
"AT1G78970",102.500015347148,1.49671957073785,0.438244089320281,3.41526470570149,0.000637200550144281,0.00698836154441075
"AT1G19900",182.299625545706,-1.17190522917239,0.353673000342307,-3.31352754673993,0.000921270316239588,0.00938145922032388
"AT1G78290",407.681733884879,-1.10666768877741,0.148472936176026,-7.45366608406912,9.07815900577274e-14,9.94126839466329e-12
"AT1G17360",3184.96176239586,1.11896338758922,0.237563286004321,4.71016968324333,2.47510638605937e-06,6.37559318735294e-05
"AT1G05950",107.259756435402,-1.00519410435112,0.374375283216073,-2.68499056806314,0.00725318530405046,0.046639543861277
"AT1G05100",866.861674722866,1.23282941938573,0.354814920975457,3.47457039291482,0.000511672093016468,0.00585320643097894
