"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",4.25608088716597,1.40241713423392,0.954077986546232,1.46991876346574,0.141583757085098,0.36979053977001
"AT1G78930",31.4693226774642,-0.87218509125485,0.436692409638829,-1.99725269320847,0.045797739529037,0.178346022125943
"AT1G71695",314.075882848379,-0.816240045356413,0.270132743888129,-3.0216257148539,0.00251421214813871,0.0207222810636304
"AT1G58983",1.0141079529198,0.0625738189636934,1.98031980572818,0.0315978352499911,0.974792769749571,NA
"AT1G12980",2.85321202297351,0.198912080032254,1.17971130570206,0.168610811027092,0.86610277635161,0.946972640723209
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",1045.10182944565,0.00310999001915891,0.360024913470181,0.00863826336122845,0.993107748748198,0.997593991920381
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",639.78590644453,0.648705532354136,0.15141073186941,4.28440919837597,1.83225418699883e-05,0.000362327434147718
"AT1G72450",11517.9767423271,0.752039634158825,0.272335932423945,2.76144109029331,0.00575468972112318,0.0389581231446773
"AT1G76280",267.425969752098,-0.236587200954987,0.167003576174004,-1.41665948942603,0.156582506499955,0.392689261852686
"AT1G65630",0,NA,NA,NA,NA,NA
"AT1G71390",0.807242738617106,0.651477462177716,2.10560674946636,0.309401298387187,0.75701628284483,NA
"AT1G56233",0,NA,NA,NA,NA,NA
"AT1G15210",22980.3004548937,0.627322431342341,0.224965745474037,2.78852422630155,0.00529487870824944,0.03661885014604
"AT1G15250",354.325455322329,-0.116910522530314,0.189974878046366,-0.61539990830672,0.538290651952151,0.770168070864768
"AT1G79700",324.317455882436,-0.380290410993802,0.199562757356479,-1.90561814253994,0.0566997665411236,0.20607093269916
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",20.7832336937239,-0.0071414102422829,0.395819793397748,-0.0180420746041538,0.985605288185325,0.994734644318942
"AT1G16360",13.3895561379234,0.609729010987622,0.561324625429557,1.08623242837605,0.277376173616707,0.546951810064912
"AT1G10225",0.984944665443437,1.05599758729185,1.98587618061214,0.531753992319071,0.594896391452081,NA
"AT1G26670",1426.16693335065,0.111458815113962,0.0973438260446533,1.14500137957218,0.252208585898865,0.520171257231503
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",405.401602953264,-1.59613512136815,0.240218382466086,-6.64451698068317,3.04213037175428e-11,2.23966571152936e-09
"AT1G57800",0.331006285562969,0.0613381727381877,3.78653689036227,0.0161990162816872,0.987075620254836,NA
"AT1G69460",1074.21038733982,0.115019208748598,0.114528666315842,1.00428314105574,0.315242157385285,0.585674838996318
"AT1G04310",182.536489823876,-0.350681629621461,0.183669098572622,-1.90931208541214,0.0562218441954574,0.204995588734458
"AT1G08080",8.58375266427088,0.866604789546678,0.690749626913561,1.25458596831804,0.209629099820996,0.468489113249834
"AT1G75550",26.4153828198651,-1.01516122440976,0.517940136876541,-1.95999721228737,0.0499961161304482,0.18859535445988
"AT1G71890",3.85550481862109,-1.87256489535906,1.50766518608113,-1.24202967120731,0.214225614830811,0.474576049445262
"AT1G05430",471.861604901466,-0.0196314269962463,0.120890495565695,-0.162390160652275,0.87099861866232,0.94960986081095
"AT1G80870",280.09595319252,-0.799756161788202,0.255811272195346,-3.12635231014167,0.00176989378767637,0.0156806002725881
"AT1G75310",1899.76365807461,0.527270075937423,0.18213363044293,2.89496275155312,0.00379203526689054,0.0282612970369626
"AT1G02010",250.392290994454,-0.0793213041280662,0.177559663088905,-0.446730427103535,0.65506970992383,0.844017038416317
"AT1G47900",1085.20728740518,-0.528610017132444,0.17052196326106,-3.09995268071814,0.00193551561617694,0.0168378268693525
"AT1G14315",0,NA,NA,NA,NA,NA
"AT1G26760",159.321507424365,-0.296171121738168,0.218478396743429,-1.35560827135681,0.175223838717123,0.421419036896981
"AT1G05250",0,NA,NA,NA,NA,NA
"AT1G67260",0.287750989291647,-1.64516230541584,4.05234958798306,-0.405977389091613,0.684759214114143,NA
