"","gene"
"1","AT1G26820"
"2","AT2G04390"
"3","AT4G26230"
"4","AT1G68180"
"5","AT5G64140"
"6","AT5G17410"
"7","AT2G31490"
"8","AT5G27200"
"9","AT4G13885"
"10","AT2G01980"
